create, 2, (-1, -1)
#a, 0, (12, 0)
=, 31, (-1, -1)
10, 1, (17, 0)
create, 2, (-1, -1)
#b, 0, (13, 0)
=, 31, (-1, -1)
7, 1, (15, 0)
create, 2, (-1, -1)
#result, 0, (6, 0)
=, 31, (-1, -1)
0, 1, (8, 0)
if, 5, (-1, -1)
#a, 0, (12, 0)
==, 27, (-1, -1)
#b, 0, (13, 0)
then, 7, (-1, -1)
#result, 0, (6, 0)
=, 31, (-1, -1)
#a, 0, (12, 0)
else, 6, (-1, -1)
while, 9, (-1, -1)
#a, 0, (12, 0)
!=, 0, (-1, -1)
0, 1, (8, 0)
and, 0, (-1, -1)
#b, 0, (13, 0)
!=, 0, (-1, -1)
0, 1, (8, 0)
if, 5, (-1, -1)
#a, 0, (12, 0)
>, 29, (-1, -1)
#b, 0, (13, 0)
then, 7, (-1, -1)
#a, 0, (12, 0)
=, 31, (-1, -1)
#a, 0, (12, 0)
-, 22, (-1, -1)
#b, 0, (13, 0)
else, 6, (-1, -1)
#b, 0, (13, 0)
=, 31, (-1, -1)
#b, 0, (13, 0)
-, 22, (-1, -1)
#a, 0, (12, 0)
endif, 8, (-1, -1)
endwhile, 10, (-1, -1)
if, 5, (-1, -1)
#a, 0, (12, 0)
==, 27, (-1, -1)
0, 1, (8, 0)
then, 7, (-1, -1)
#result, 0, (6, 0)
=, 31, (-1, -1)
#b, 0, (13, 0)
else, 6, (-1, -1)
#result, 0, (6, 0)
=, 31, (-1, -1)
#a, 0, (12, 0)
endif, 8, (-1, -1)
endif, 8, (-1, -1)
show, 4, (-1, -1)
#result, 0, (6, 0)
