create, 2, (-1, -1)
array, 11, (-1, -1)
#a, 0, (12, 0)
create, 2, (-1, -1)
#index, 0, (11, 0)
=, 31, (-1, -1)
1, 1, (9, 0)
create, 2, (-1, -1)
#n, 0, (5, 0)
=, 31, (-1, -1)
10, 1, (17, 0)
while, 9, (-1, -1)
#index, 0, (11, 0)
<=, 25, (-1, -1)
#n, 0, (5, 0)
#a, 0, (12, 0)
#index, 0, (11, 0)
=, 31, (-1, -1)
5, 1, (13, 0)
#index, 0, (11, 0)
=, 31, (-1, -1)
#index, 0, (11, 0)
+, 21, (-1, -1)
1, 1, (9, 0)
endwhile, 10, (-1, -1)
create, 2, (-1, -1)
#sum, 0, (16, 0)
=, 31, (-1, -1)
0, 1, (8, 0)
#index, 0, (11, 0)
=, 31, (-1, -1)
0, 1, (8, 0)
while, 9, (-1, -1)
#index, 0, (11, 0)
<=, 25, (-1, -1)
#n, 0, (5, 0)
#sum, 0, (16, 0)
=, 31, (-1, -1)
#sum, 0, (16, 0)
+, 21, (-1, -1)
#a, 0, (12, 0)
#index, 0, (11, 0)
endwhile, 10, (-1, -1)
